year,group_name,hiuyi_name,count
2018,阿里,International Conference on Computer Vision,0
2019,百度,International Conference on Computer Vision,14
2019,腾讯,International Conference on Computer Vision,23
2019,阿里,International Conference on Computer Vision,8
2020,百度,International Conference on Computer Vision,0
2020,腾讯,International Conference on Computer Vision,0
2020,阿里,International Conference on Computer Vision,0
2017,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,0
2017,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,0
2017,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2
2018,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2
2018,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,4
2018,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,1
2019,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,6
2019,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,13
2019,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2
2020,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,0
2020,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,0
2020,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,0
2017,百度,"IEEE Transactions on Audio, Speech, and Language Processing",0
2017,腾讯,"IEEE Transactions on Audio, Speech, and Language Processing",0
2017,阿里,"IEEE Transactions on Audio, Speech, and Language Processing",0
2018,百度,"IEEE Transactions on Audio, Speech, and Language Processing",0
2018,腾讯,"IEEE Transactions on Audio, Speech, and Language Processing",2
2018,阿里,"IEEE Transactions on Audio, Speech, and Language Processing",0
2019,百度,"IEEE Transactions on Audio, Speech, and Language Processing",0
2019,腾讯,"IEEE Transactions on Audio, Speech, and Language Processing",3
2019,阿里,"IEEE Transactions on Audio, Speech, and Language Processing",0
2020,百度,"IEEE Transactions on Audio, Speech, and Language Processing",0
2020,腾讯,"IEEE Transactions on Audio, Speech, and Language Processing",0
2020,阿里,"IEEE Transactions on Audio, Speech, and Language Processing",0
2017,百度,European Conference on Computer Vision,0
2017,腾讯,European Conference on Computer Vision,0
2017,阿里,European Conference on Computer Vision,0
2018,百度,European Conference on Computer Vision,9
2018,腾讯,European Conference on Computer Vision,37
2018,阿里,European Conference on Computer Vision,6
2019,百度,European Conference on Computer Vision,0
2019,腾讯,European Conference on Computer Vision,0
2019,阿里,European Conference on Computer Vision,0
2020,百度,European Conference on Computer Vision,0
2020,腾讯,European Conference on Computer Vision,0
2020,阿里,European Conference on Computer Vision,0
2017,百度,Empirical Methods in Natural Language Processing,3
2017,腾讯,Empirical Methods in Natural Language Processing,6
2017,阿里,Empirical Methods in Natural Language Processing,0
2018,百度,Empirical Methods in Natural Language Processing,12
2018,腾讯,Empirical Methods in Natural Language Processing,23
2018,阿里,Empirical Methods in Natural Language Processing,2
2019,百度,Empirical Methods in Natural Language Processing,1
2019,腾讯,Empirical Methods in Natural Language Processing,2
2019,阿里,Empirical Methods in Natural Language Processing,1
2020,百度,Empirical Methods in Natural Language Processing,0
2020,腾讯,Empirical Methods in Natural Language Processing,0
2020,阿里,Empirical Methods in Natural Language Processing,0
2017,百度,Conference on Learning Theory,0
2017,腾讯,Conference on Learning Theory,0
2017,阿里,Conference on Learning Theory,1
2018,百度,Conference on Learning Theory,0
2018,腾讯,Conference on Learning Theory,0
2018,阿里,Conference on Learning Theory,0
2019,百度,Conference on Learning Theory,0
2019,腾讯,Conference on Learning Theory,1
2019,阿里,Conference on Learning Theory,0
2020,百度,Conference on Learning Theory,0
2020,腾讯,Conference on Learning Theory,0
2020,阿里,Conference on Learning Theory,0
2017,百度,Computer Vision and Pattern Recognition,4
2017,腾讯,Computer Vision and Pattern Recognition,12
2017,阿里,Computer Vision and Pattern Recognition,3
2018,百度,Computer Vision and Pattern Recognition,20
2018,腾讯,Computer Vision and Pattern Recognition,48
2018,阿里,Computer Vision and Pattern Recognition,11
2019,百度,Computer Vision and Pattern Recognition,9
2019,腾讯,Computer Vision and Pattern Recognition,40
2019,阿里,Computer Vision and Pattern Recognition,8
2020,百度,Computer Vision and Pattern Recognition,0
2020,腾讯,Computer Vision and Pattern Recognition,3
2020,阿里,Computer Vision and Pattern Recognition,0
2017,百度,Artificial Intelligence,0
2017,腾讯,Artificial Intelligence,0
2017,阿里,Artificial Intelligence,0
2018,百度,Artificial Intelligence,0
2018,腾讯,Artificial Intelligence,0
2018,阿里,Artificial Intelligence,0
2019,百度,Artificial Intelligence,0
2019,腾讯,Artificial Intelligence,0
2019,阿里,Artificial Intelligence,1
2020,百度,Artificial Intelligence,0
2020,腾讯,Artificial Intelligence,0
2020,阿里,Artificial Intelligence,0
